Date,MSCI ACWI
12/1987,10000
01/1988,10253.3
02/1988,10848.8
03/1988,11186.2
04/1988,11331.4
05/1988,11110.2
06/1988,11101.4
07/1988,11309.5
08/1988,10690.699999999997
09/1988,11152.6
10/1988,11884.9
11/1988,12285.8
12/1988,12399.1
01/1989,12848.2
02/1989,12772.3
03/1989,12702
04/1989,13021.700000000003
05/1989,12714.6
06/1989,12538.1
07/1989,13955.099999999999
08/1989,13627.099999999999
09/1989,14039.7
10/1989,13588.1
11/1989,14122.8
12/1989,14587
01/1990,13917.2
02/1990,13333.000000000002
03/1990,12510
04/1990,12352.999999999998
05/1990,13643.700000000003
06/1990,13552.099999999999
07/1990,13689.7
08/1990,12402.8
09/1990,11106.9
10/1990,12129.000000000002
11/1990,11925.7
12/1990,12183
01/1991,12633.600000000002
02/1991,13821.700000000003
03/1991,13436.000000000002
04/1991,13549.2
05/1991,13873.3
06/1991,13027.4
07/1991,13648
08/1991,13620.500000000002
09/1991,13967.4
10/1991,14210.5
11/1991,13599
12/1991,14608.9
01/1992,14390.5
02/1992,14173.1
03/1992,13542.2
04/1992,13723.8
05/1992,14249.8
06/1992,13741.7
07/1992,13785.6
08/1992,14094.7
09/1992,13974.6
10/1992,13632.8
11/1992,13859.7
12/1992,13990.799999999997
01/1993,14040.3
02/1993,14370.500000000002
03/1993,15196.3
04/1993,15886.5
05/1993,16259.7
06/1993,16154.2
07/1993,16489.2
08/1993,17271.100000000002
09/1993,16981.5
10/1993,17484.4
11/1993,16575.5
12/1993,17472
01/1994,18630.699999999997
02/1994,18361.4
03/1994,17536.4
04/1994,18013.3
05/1994,18119.5
06/1994,18031.5
07/1994,18430.600000000006
08/1994,19087.1
09/1994,18638.9
10/1994,19116.6
11/1994,18286.4
12/1994,18350.2
01/1995,17976.8
02/1995,18168.8
03/1995,19001
04/1995,19692.100000000002
05/1995,19909.5
06/1995,19913.899999999998
07/1995,20877.4
08/1995,20420.300000000003
09/1995,20982.1
10/1995,20631.4
11/1995,21280.4
12/1995,21921.2
01/1996,22408.5
02/1996,22501.8
03/1996,22848.2
04/1996,23406.100000000006
05/1996,23430.3
06/1996,23558.8
07/1996,22678.9
08/1996,22958.6
09/1996,23806.4
10/1996,23901.6
11/1996,25179.4
12/1996,24814.7
01/1997,25231
02/1997,25575
03/1997,25063.4
04/1997,25868.400000000005
05/1997,27411.900000000005
06/1997,28814.6
07/1997,30117.5
08/1997,28004.4
09/1997,29497.9
10/1997,27741.5
11/1997,28165.9
12/1997,28535.700000000004
01/1998,29163.899999999994
02/1998,31158.999999999996
03/1998,32488.5
04/1998,32793
05/1998,32170.800000000003
06/1998,32750.4
07/1998,32761.100000000006
08/1998,28171.2
09/1998,28731.599999999995
10/1998,31355.59999999999
11/1998,33259.2
12/1998,34803.8
01/1999,35515.1
02/1999,34622.5
03/1999,36179.8
04/1999,37742.899999999994
05/1999,36409.2
06/1999,38221.9
07/1999,38065.7
08/1999,38020
09/1999,37610.1
10/1999,39514.9
11/1999,40742.7
12/1999,44136.9
01/2000,41756
02/2000,41897.8
03/2000,44652.1
04/2000,42649.2
05/2000,41542.4
06/2000,42950.5
07/2000,41689
08/2000,42985
09/2000,40624.1
10/2000,39829.3
11/2000,37361.8
12/2000,37985.9
01/2001,38946.3
02/2001,35669.4
03/2001,33268.3
04/2001,35691.5
05/2001,35293.6
06/2001,34212.3
07/2001,33673.1
08/2001,32125.599999999995
09/2001,29191.1
10/2001,29811.399999999994
11/2001,31644.8
12/2001,31941.4
01/2002,31066.2
02/2002,30838
03/2002,32230.6
04/2002,31209.8
05/2002,31253.9
06/2002,29346.6
07/2002,26885.5
08/2002,26955
09/2002,23998.5
10/2002,25765.7
11/2002,27175.099999999995
12/2002,25879.5
01/2003,25124.2
02/2003,24683.9
03/2003,24590.6
04/2003,26786.6
05/2003,28345.4
06/2003,28889.800000000003
07/2003,29530.900000000005
08/2003,30231.9
09/2003,30424.999999999996
10/2003,32270.699999999997
11/2003,32765.1
12/2003,34842.70000000001
01/2004,35439.8
02/2004,36093.8
03/2004,35901.6
04/2004,35077.5
05/2004,35373.4
06/2004,36088.3
07/2004,34943.5
08/2004,35170.4
09/2004,35911.399999999994
10/2004,36797.6
11/2004,38818.90000000001
12/2004,40332
01/2005,39485.1
02/2005,40871.4
03/2005,39987.2
04/2005,39131.9
05/2005,39891.9
06/2005,40312.8
07/2005,41814.2
08/2005,42151.2
09/2005,43431.2
10/2005,42269.5
11/2005,43830.4
12/2005,44919.2
01/2006,47140.4
02/2006,47090.3
03/2006,48101.1
04/2006,49726.5
05/2006,47808.1
06/2006,47806.9
07/2006,48145
08/2006,49417.5
09/2006,50006.9
10/2006,51892.3
11/2006,53384.9
12/2006,54589.70000000001
01/2007,55144.6
02/2007,54875.8
03/2007,55999.5
04/2007,58516.5
05/2007,60310.6
06/2007,60154.9
07/2007,59250.19999999999
08/2007,59111.4
09/2007,62303.3
10/2007,64746.5
11/2007,61910.29999999999
12/2007,61241.3
01/2008,56239.5
02/2008,56424.9
03/2008,55622.2
04/2008,58765.9
05/2008,59751.1
06/2008,54864.6
07/2008,53457.1
08/2008,52328.3
09/2008,45809.100000000006
10/2008,36743.2
11/2008,34352.600000000006
12/2008,35614.6
01/2009,32582.7
02/2009,29412.599999999995
03/2009,31851.5
04/2009,35640.6
05/2009,39234.1
06/2009,39029.9
07/2009,42479.3
08/2009,44016.30000000001
09/2009,46049.8
10/2009,45347.5
11/2009,47232.8
12/2009,48224.8
01/2010,46150.1
02/2010,46755.1
03/2010,49786
04/2010,49895.7
05/2010,45209.2
06/2010,43832.3
07/2010,47412.8
08/2010,45774.2
09/2010,50169.4
10/2010,51992.8
11/2010,50857.4
12/2010,54596.7
01/2011,55465.9
02/2011,57103.8
03/2011,57070.5
04/2011,59438.3
05/2011,58216.2
06/2011,57321.5
07/2011,56406.7
08/2011,52309.40000000001
09/2011,47389.8
10/2011,52479.9
11/2011,50935.1
12/2011,50849.7
01/2012,53820.6
02/2012,56555.6
03/2012,56958.90000000001
04/2012,56344.4
05/2012,51343.1
06/2012,53904.4
07/2012,54660.1
08/2012,55876
09/2012,57659.3
10/2012,57289.8
11/2012,58050.1
12/2012,59393.1
01/2013,62146.3
02/2013,62164.8
03/2013,63331.1
04/2013,65182.899999999994
05/2013,65058.90000000001
06/2013,63183.8
07/2013,66228.8
08/2013,64876.8
09/2013,68252.9
10/2013,71011.4
11/2013,72047.1
12/2013,73314.9
01/2014,70398.6
02/2014,73834.6
03/2014,74202.2
04/2014,74947.79999999999
05/2014,76606.89999999998
06/2014,78082.5
07/2014,77159.1
08/2014,78895.2
09/2014,76367.20000000001
10/2014,76922.3
11/2014,78241.9
12/2014,76764.70000000001
01/2015,75581.7
02/2015,79824
03/2015,78634.8
04/2015,80955
05/2015,80912.29999999999
06/2015,79043.29999999999
07/2015,79758.5
08/2015,74323.29999999999
09/2015,71663.6
10/2015,77307.1
11/2015,76703.09999999999
12/2015,75352.1
01/2016,70825.3
02/2016,70377.5
03/2016,75641.6
04/2016,76802.8
05/2016,76964.70000000001
06/2016,76539.3
07/2016,79860.90000000002
08/2016,80168.4
09/2016,80694.50000000001
10/2016,79344.2
11/2016,79986.1
12/2016,81745.7
01/2017,83998.4
02/2017,86392.2
03/2017,87506.7
04/2017,88910.9
05/2017,90952.9
06/2017,91404.2
07/2017,93991.9
08/2017,94398
09/2017,96257
10/2017,98278
11/2017,100225.4
12/2017,101875.00000000001
01/2018,107643.6
02/2018,103164.5
03/2018,101017.9
04/2018,102039.6
05/2018,102255
06/2018,101742
07/2018,104843.3
08/2018,105714.00000000001
09/2018,106217.4
10/2018,98280.9
11/2018,99764.9
12/2018,92778.39999999998
01/2019,100132.7
02/2019,102856.4
03/2019,104213.89999999998
04/2019,107787.89999999998
05/2019,101483.8
06/2019,108176.3
07/2019,108530.5
08/2019,106005.5
09/2019,108284.7
10/2019,111276.2
11/2019,114040.2
12/2019,118103.6
01/2020,116828.7
02/2020,107437.7
03/2020,92998.3
04/2020,103007.8
05/2020,107550.1
06/2020,111033.4
07/2020,116950.1
08/2020,124152.2
09/2020,120195.10000000002
10/2020,117302.6
11/2020,131805.1
12/2020,137973.2
01/2021,137379
02/2021,140602.1
03/2021,144432.19999999998
04/2021,150806.8
05/2021,153234.8
06/2021,155304.5
07/2021,156419.6
08/2021,160383.4
09/2021,153826.7
10/2021,161718
11/2021,157873
12/2021,164238.5
01/2022,156203
02/2022,152215.5
03/2022,155602.2
04/2022,143205.7
05/2022,143475.1
06/2022,131439.8
07/2022,140665
08/2022,135541.3
09/2022,122622.9
10/2022,130054.2
11/2022,140201.3
12/2022,134740
01/2023,144431.6
02/2023,140342.9
03/2023,144767.5
04/2023,146917
05/2023,145448.2
06/2023,153957.3
07/2023,159639.2
08/2023,155241.7
09/2023,148877.4
10/2023,144434.4
11/2023,157833.9
12/2023,165470.5
01/2024,166476.30000000002
02/2024,173681.5
03/2024,179230.7
04/2024,173393.9
05/2024,180545.7
06/2024,184632
07/2024,187660.6
08/2024,192614.5369500209
09/2024,197395.08149384576
10/2024,192804.36898945156
11/2024,199547.21431607843
12/2024,195463.18123332827
01/2025,201314.78982875054
02/2025,200361.48851599582
03/2025,192474.64431548913
04/2025,194130.0201561722
05/2025,204944.89166487887
06/2025,214064.378741619
07/2025,217319.51668352447